id,topic,question,A,B,C,D,answer,explanation
69,军争篇,「金鼓旌旗者，所以一人之耳目也」中「一人」是指？,统一,一个人,第一人,专任一人,A,指统一全军的视听。
70,军争篇,「三军可夺气，将军可夺心」出自？,军争篇,九变篇,地形篇,九地篇,A,出自《孙子兵法·军争篇》。
71,九变篇,「凡用兵之法，将受命于君，合军聚众」之后是？,圮地无舍,绝地无留,围地则谋,死地则战,A,原文为「圮地无舍，衢地交合，绝地无留」。
72,九变篇,「涂有所不由，军有所不击」出自？,九变篇,军争篇,行军篇,地形篇,A,出自《孙子兵法·九变篇》。
73,九变篇,「城有所不攻，地有所不争」体现什么？,有所不为,全面进攻,处处必争,消极避战,A,指有选择地行动，不盲目贪求。
74,九变篇,「君命有所不受」说明了什么？,将领要随机应变,将领必须服从,君命都可违抗,君命不可违背,A,将领在特殊情况下可灵活处置。
75,九变篇,「故将通于九变之地利者，知用兵矣」中「九变」是指？,多种机变,九种地形,九次改变,九个位置,A,指多种随机应变的方法。
76,九变篇,「是故智者之虑，必杂于利害」出自？,九变篇,军争篇,行军篇,地形篇,A,出自《孙子兵法·九变篇》。
77,九变篇,「杂于利，而务可信也」中「务」是指？,任务,务必,事务,军务,A,指所执行的任务可信可行。
78,九变篇,「屈诸侯者以害，役诸侯者以业」中「业」是指？,危险之事,农事,家业,功业,A,指使诸侯疲于奔命的危险之事。
79,九变篇,「故将有五危」不包括以下哪一项？,好色,必死,必生,忿速,A,五危为必死、必生、忿速、廉洁、爱民。
80,九变篇,「必死，可杀也」体现什么？,有勇无谋的危险,勇猛善战的可贵,视死如归的气节,以死明志的决心,A,指有勇无谋易被诱杀。
81,行军篇,「凡处军相敌：绝山依谷」出自哪一篇？,行军篇,地形篇,九地篇,九变篇,A,出自《孙子兵法·行军篇》。
82,行军篇,「客绝水而来，勿迎之于水内」中「客」是指？,敌军,客人,来使,诸侯,A,指敌军。
83,行军篇,「令半济而击之，利」体现什么？,半渡而击,半途而废,半济而援,半路设伏,A,趁敌军渡河过半时攻击最为有利。
84,行军篇,「凡军好高而恶下，贵阳而贱阴」出自？,行军篇,地形篇,九地篇,九变篇,A,出自《孙子兵法·行军篇》。
85,行军篇,「军无百疾，是谓必胜」出自？,行军篇,地形篇,九地篇,火攻篇,A,出自《孙子兵法·行军篇》。
86,行军篇,「众树动者，来也」说明如何判断敌情？,观察环境,询问百姓,占卜问卦,派出使者,A,通过观察自然现象判断敌军动向。
87,行军篇,「鸟起者，伏也」出自？,行军篇,地形篇,九地篇,火攻篇,A,出自《孙子兵法·行军篇》。
88,行军篇,「辞卑而益备者，进也」体现什么？,敌方伪装,敌方诚服,敌方退却,敌方内乱,A,敌人使者言辞谦卑却加强战备，是要进攻。
89,行军篇,「卒未亲附而罚之，则不服」说明什么？,恩威并施,严刑峻法,不罚士卒,只赏不罚,A,要先施恩使士卒亲附，再行惩罚。
90,行军篇,「令素行以教其民，则民服」出自？,行军篇,地形篇,九地篇,始计篇,A,出自《孙子兵法·行军篇》。
91,地形篇,「地形有通者，有挂者，有支者」中「通」是指？,交通便利之地,通敌之地,交通断绝之地,通行无阻之人,A,指双方都可以往来的地区。
92,地形篇,「我可以往，彼可以来，曰通」出自？,地形篇,九地篇,行军篇,九变篇,A,出自《孙子兵法·地形篇》。
93,地形篇,「可以往，难以返，曰挂」中「挂」是指？,易去难返之地,挂念之地,险要之地,挂碍之地,A,指可以前往但难以返回的地方。
94,地形篇,「我出而不利，彼出而不利，曰支」体现什么？,相持之地,支离破碎,支吾其词,支持一方,A,指双方出击都不利的地方。
95,地形篇,「隘形者，我先居之，必盈之以待敌」出自？,地形篇,九地篇,行军篇,九变篇,A,出自《孙子兵法·地形篇》。
96,地形篇,「险形者，我先居之，必居高阳以待敌」中「高阳」是指？,高处向阳之地,高个阳刚之人,高原阳坡,高墙阳面,A,指地势高而向阳的地方。
97,地形篇,「远形者，势均难以挑战」说明了什么？,势均不宜挑战,远方必可战胜,长途奔袭有利,距离越远越强,A,双方势均力敌且距离远，不宜主动挑战。
98,地形篇,「凡此六者，地之道也」中「六者」是指？,六种地形,六种战术,六种兵器,六种阵法,A,指通、挂、支、隘、险、远六种地形。
99,地形篇,「视卒如婴儿，故可与之赴深溪」出自？,地形篇,行军篇,九地篇,九变篇,A,出自《孙子兵法·地形篇》。
100,地形篇,「知敌之可击，而不知吾卒之不可以击，胜之半也」说明？,知己知彼的必要,只知敌即可胜,只知己即可胜,胜负听天由命,A,只知其一不知其二，胜利只有一半把握。
101,九地篇,「用兵之法，有散地，有轻地，有争地」出自？,九地篇,地形篇,行军篇,九变篇,A,出自《孙子兵法·九地篇》。
102,九地篇,「诸侯自战其地，为散地」中「散地」是指？,在本国境内作战,散乱之地,分散作战,散兵游勇,A,指在本国境内作战的地区。
103,九地篇,「入人之地而不深者，为轻地」中「轻地」是指？,入敌境不深,地势轻浮,轻视之地,不重要之地,A,指进入敌境不深的地区。
104,九地篇,「我得则利，彼得亦利者，为争地」出自？,九地篇,地形篇,行军篇,军争篇,A,出自《孙子兵法·九地篇》。
105,九地篇,「我可以往，彼可以来者，为交地」中「交地」是指？,交通便利之地,交战之地,交接之地,交替之地,A,指双方都可以来往的地区。
106,九地篇,「诸侯之地三属，先至而得天下之众者，为衢地」中「衢地」是指？,四通八达之地,街衢巷陌,交通要道,城池中心,A,指多国交界、先到者可结交诸侯的地区。
107,九地篇,「投之亡地然后存，陷之死地然后生」出自？,九地篇,地形篇,九变篇,军争篇,A,出自《孙子兵法·九地篇》。
108,九地篇,「兵之情主速，乘人之不及」体现什么？,兵贵神速,兵贵持久,以逸待劳,后发制人,A,强调用兵贵在神速，乘敌不备。
109,九地篇,「始如处女，后如脱兔」出自？,九地篇,兵势篇,虚实篇,军争篇,A,出自《孙子兵法·九地篇》。
110,九地篇,「故为兵之事，在于顺详敌之意」中「详」通哪个字？,佯,祥,详,降,A,通「佯」，指假装顺从敌人意图。
111,火攻篇,「凡火攻有五：一曰火人」的下一项是？,火积,火器,火箭,火马,A,五火为火人、火积、火辎、火库、火队。
112,火攻篇,「火人」是指？,焚烧敌军人马,焚烧百姓,烧伤自身,火烤兵刃,A,指用火烧敌军人马。
113,火攻篇,「火积」是指？,焚烧敌军粮草,焚烧积蓄,火攻积累,积累火种,A,指焚烧敌军粮草辎重。
114,火攻篇,「火辎」是指？,焚烧敌军辎重,焚烧车轮,焚烧车夫,火中辎重,A,指焚烧敌军辎重车辆。
115,火攻篇,「火库」是指？,焚烧敌军仓库,焚烧家中库房,焚烧水库,焚烧火库,A,指焚烧敌军仓库。
116,火攻篇,「火队」是指？,焚烧敌军队伍,焚烧队列,火攻队伍,火攻队列,A,指焚烧敌军行军队伍。
117,火攻篇,「行火必有因，烟火必素具」出自？,火攻篇,九变篇,军争篇,九地篇,A,出自《孙子兵法·火攻篇》。
118,火攻篇,「发火有时，起火有日」中「时」是指？,天时,时机,时辰,时节,A,指天时干燥的时节。
119,火攻篇,「故以火佐攻者明，以水佐攻者强」出自？,火攻篇,军争篇,虚实篇,九地篇,A,出自《孙子兵法·火攻篇》。
120,火攻篇,「主不可以怒而兴师，将不可以愠而致战」体现什么？,慎战,速战,久战,不战,A,强调不能因一时之怒而发动战争。
121,用间篇,「故明君贤将，所以动而胜人，成功出于众者，先知也」出自？,用间篇,始计篇,谋攻篇,九变篇,A,出自《孙子兵法·用间篇》。
122,用间篇,「先知者，必取于人，知敌之情者也」中「取于人」是指？,利用间谍,向人索取,取悦于人,取信于人,A,指从了解敌情的人那里获取情报。
123,用间篇,「故用间有五：有因间」的下一项是？,有内间,有明间,有暗间,有死间,A,五间为因间、内间、反间、死间、生间。
124,用间篇,「因间」是指？,利用敌方乡人做间谍,趁机派人,依靠亲友,因缘际会,A,指利用敌方乡人充当间谍。
125,用间篇,「内间」是指？,利用敌方官吏做间谍,在内部设间,家中内斗,内部人员,A,指利用敌方官吏充当间谍。
126,用间篇,「反间」是指？,收买敌方间谍为我所用,反攻间谍,反对用间,反向侦察,A,指收买或利用敌方间谍为我方服务。
127,用间篇,「死间」是指？,故意散布假情报,必死之谍,去而不返的间谍,死士,A,指故意散布假情报给己方间谍，使其被敌所杀。
128,用间篇,「生间」是指？,能返回报告的间谍,活着的间谍,生存之道,生于其间,A,指能活着返回报告敌情的间谍。
129,用间篇,「三军之事，莫亲于间，赏莫厚于间」出自？,用间篇,行军篇,地形篇,九地篇,A,出自《孙子兵法·用间篇》。
130,用间篇,「非圣智不能用间，非仁义不能使间」体现什么？,用间需高明,用间需吝啬,用间需仁厚,用间需沉默,A,强调只有圣智仁义之人才能善用间谍。
